id,product,pol_year,rate
322,ILP01,22,0.00
323,ILP01,23,0.00
324,ILP01,24,0.00
325,ILP01,25,0.00
326,ILP01,26,0.00
327,ILP01,27,0.00
328,ILP01,28,0.00
329,ILP01,29,0.00
330,ILP01,30,0.00
331,ILP01,31,0.00
332,ILP01,32,0.00
333,ILP01,33,0.00
334,ILP01,34,0.00
335,ILP01,35,0.00
336,ILP01,36,0.00
337,ILP01,37,0.00
338,ILP01,38,0.00
339,ILP01,39,0.00
340,ILP01,40,0.00
341,ILP01,41,0.00
342,ILP01,42,0.00
343,ILP01,43,0.00
344,ILP01,44,0.00
345,ILP01,45,0.00
346,ILP01,46,0.00
347,ILP01,47,0.00
348,ILP01,48,0.00
349,ILP01,49,0.00
350,ILP01,50,0.00
351,ILP01,51,0.00
352,ILP01,52,0.00
353,ILP01,53,0.00
354,ILP01,54,0.00
355,ILP01,55,0.00
356,ILP01,56,0.00
357,ILP01,57,0.00
358,ILP01,58,0.00
359,ILP01,59,0.00
360,ILP01,60,0.00
361,ILP01,61,0.00
362,ILP01,62,0.00
363,ILP01,63,0.00
364,ILP01,64,0.00
365,ILP01,65,0.00
366,ILP01,66,0.00
367,ILP01,67,0.00
368,ILP01,68,0.00
369,ILP01,69,0.00
370,ILP01,70,0.00
371,ILP01,71,0.00
372,ILP01,72,0.00
373,ILP01,73,0.00
374,ILP01,74,0.00
375,ILP01,75,0.00
376,ILP01,76,0.00
377,ILP01,77,0.00
378,ILP01,78,0.00
379,ILP01,79,0.00
380,ILP01,80,0.00
381,ILP01,81,0.00
382,ILP01,82,0.00
383,ILP01,83,0.00
384,ILP01,84,0.00
385,ILP01,85,0.00
386,ILP01,86,0.00
387,ILP01,87,0.00
388,ILP01,88,0.00
389,ILP01,89,0.00
390,ILP01,90,0.00
391,ILP01,91,0.00
392,ILP01,92,0.00
393,ILP01,93,0.00
394,ILP01,94,0.00
395,ILP01,95,0.00
396,ILP01,96,0.00
397,ILP01,97,0.00
398,ILP01,98,0.00
399,ILP01,99,0.00
400,ILP01,100,0.00
